nta_code,nta_name,centroid_lat,centroid_lon
QN1206,Hollis,40.71186479469823,-73.76211292183692
QN1301,Glen Oaks-Floral Park-New Hyde Park,40.74595130911468,-73.71096174356
QN1302,Bellerose,40.73549232115083,-73.72669154952163
QN1303,Queens Village,40.716082878967796,-73.74175469904267
QN1304,Cambria Heights,40.69434196630028,-73.7355529673867
QN1305,Laurelton,40.67591333413384,-73.74450474825248
QN1306,Springfield Gardens (South)-Brookville,40.66016666768696,-73.76148075232273
QN1307,Rosedale,40.65905013649418,-73.73565947842475
QN1401,Far Rockaway-Bayswater,40.601698032839195,-73.75655268719576
QN1402,Rockaway Beach-Arverne-Edgemere,40.59156761661383,-73.79630681851944
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,40.578181526239256,-73.86054055142482
SI0101,St. George-New Brighton,40.6421856982253,-74.08553312926058
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,40.62610424328154,-74.07883600891763
SI0103,Rosebank-Shore Acres-Park Hill,40.61168565055444,-74.07276912356546
SI0104,West New Brighton-Silver Lake-Grymes Hill,40.628066228186974,-74.10130485697299
SI0105,Westerleigh-Castleton Corners,40.617000444081775,-74.12879650731615
SI0106,Port Richmond,40.63383344064441,-74.13317719572152
SI0107,Mariner's Harbor-Arlington-Graniteville,40.63133225849626,-74.16736694344212
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,40.59353983509585,-74.08127336194507
SI0202,New Dorp-Midland Beach,40.57431455797717,-74.10158639641928
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,40.58965440261836,-74.1282657492004
SI0204,New Springville-Willowbrook-Bulls Head-Travis,40.60372456645142,-74.17545373411166
SI0301,Oakwood-Richmondtown,40.56199832047086,-74.1225909011648
SI0302,Great Kills-Eltingville,40.55025395357899,-74.15497152906417
SI0303,Arden Heights-Rossville,40.552641565352076,-74.19690225854923
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,40.528391676985734,-74.19804140128441
SI0305,Tottenville-Charleston,40.52464910467712,-74.23548228200706
