nta_code,nta_name,borough,noise_complaints,crime_count,park_count,total_acres,station_count,total_bikes,subway_stations,subway_lines,census_median_rent,median_income,total_population,median_age,college_rate,restaurant_count,cuisine_diversity,grade_a_count,osm_cafe,osm_culture,osm_entertainment,osm_fast_food,osm_fitness,osm_grocery,osm_library,osm_nightlife,osm_other,osm_amenity_count,redfin_median_rent,redfin_mean_rent,redfin_listing_count,redfin_median_sqft,redfin_median_bedrooms,noise_score,safety_score,parks_score,transit_score,restaurant_score,osm_score,vibrancy_score,composite_score,cluster,cluster_label,predicted_rent,rent_score,combined_transit,transit_plus_score,enhanced_composite,centroid_lat,centroid_lon
BK1601,Ocean Hill,Brooklyn,44,382,22,15.795,27.0,192.0,0.0,0.0,1364.5,55905.0,40131,33.6,0.2,30,12,12,3.0,1.0,0.0,9.0,0.0,17.0,0.0,1.0,0.0,31.0,,,,,,0.8097345132743363,0.6554455445544555,0.4375,0.4821428571428571,0.020999999999999998,0.06313645621181262,0.04206822810590631,0.607103005970635,1,Quiet & Green,2953.7228002253796,0.9717689152631119,27.0,0.4821428571428571,0.6028688208628467,40.676637410870775,-73.91364735052042
BK0101,Greenpoint,Brooklyn,49,177,10,16.398000000000003,29.0,759.0,0.0,0.0,2502.0,130372.0,38260,35.1,0.4,193,37,92,42.0,2.0,2.0,26.0,9.0,69.0,0.0,51.0,0.0,201.0,5125.0,5666.0,51.0,648.0,1.0,0.7876106194690266,0.8584158415841584,0.18749999999999997,0.5178571428571428,0.184,0.4093686354378818,0.2966843177189409,0.6213916930567899,1,Quiet & Green,4600.398571428572,0.6435989178811414,29.0,0.5178571428571428,0.5951332375355763,40.72949961875473,-73.94951662764281
BK0201,Brooklyn Heights,Brooklyn,15,72,18,29.561,12.0,304.0,0.0,0.0,2696.0,174914.0,25277,36.6,0.4,94,26,39,31.0,1.0,1.0,32.0,14.0,18.0,1.0,7.0,2.0,107.0,4443.0,5139.0,8.0,608.0,1.0,0.9380530973451328,0.9623762376237623,0.3541666666666667,0.21428571428571427,0.08499999999999999,0.21792260692464357,0.15146130346232178,0.6476309075281738,0,Safe & Quiet & Car-Dependent,5058.005,0.7031154551007941,12.0,0.21428571428571427,0.5943703022202267,40.69546550215166,-73.99483016824645
QN0104,Astoria (East)-Woodside (North),Queens,46,202,8,8.642000000000001,30.0,235.0,0.0,0.0,1996.0,81646.5,37239,35.8,0.3,174,40,62,29.0,0.0,0.0,29.0,7.0,39.0,0.0,25.0,0.0,129.0,4226.0,4397.0,25.0,578.0,1.0,0.8008849557522124,0.8336633663366336,0.14583333333333331,0.5357142857142857,0.165,0.2627291242362525,0.21386456211812627,0.6134154869342813,1,Quiet & Green,3721.346236928104,0.7220525351252292,30.0,0.5357142857142857,0.5940750453005309,40.75955812859655,-73.91031297254318
BX0501,University Heights (South)-Morris Heights,Bronx,32,299,17,22.769999999999996,21.0,101.0,0.0,0.0,1327.0,33901.5,55671,34.4,0.1,38,12,20,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,,,,,,0.8628318584070797,0.7376237623762376,0.3333333333333333,0.375,0.028999999999999998,0.012219959266802444,0.02060997963340122,0.5974117599813079,1,Quiet & Green,3271.9865021864935,0.9750414521336941,21.0,0.375,0.5917375113527743,40.85185212560472,-73.9161233013283
BX0803,Riverdale-Spuyten Duyvil,Bronx,22,143,18,127.209,16.0,16.0,0.0,0.0,2021.0,110513.0,45398,47.5,0.3,62,21,28,4.0,0.0,2.0,1.0,0.0,8.0,3.0,1.0,0.0,19.0,3550.0,3794.0,6.0,1100.0,2.0,0.9070796460176991,0.8920792079207921,0.3541666666666667,0.2857142857142857,0.053,0.038696537678207736,0.04584826883910387,0.6366555786425672,0,Safe & Quiet & Car-Dependent,3403.1766922533075,0.7810454664455886,16.0,0.2857142857142857,0.5901722184003182,40.895717416844576,-73.90878510033072
BK0602,Park Slope,Brooklyn,41,235,5,19.994,26.0,481.0,0.0,0.0,2818.0,189548.5,59225,36.6,0.4,263,47,147,81.0,3.0,3.0,91.0,30.0,43.0,1.0,32.0,2.0,286.0,4078.0,4078.0,2.0,560.0,0.0,0.8230088495575221,0.800990099009901,0.08333333333333333,0.46428571428571425,0.254,0.5824847250509164,0.4182423625254582,0.5787873373304461,1,Quiet & Green,4830.54,0.734968147307793,26.0,0.46428571428571425,0.5894050635274375,40.67183145784187,-73.97975949454583
QN0402,Corona,Queens,43,285,11,7.808,25.0,406.0,0.0,0.0,1811.0,65112.0,70680,35.8,0.1,103,18,36,4.0,0.0,0.0,8.0,0.0,34.0,0.0,1.0,2.0,49.0,1950.0,1950.0,1.0,,0.0,0.8141592920353983,0.7514851485148515,0.20833333333333331,0.4464285714285714,0.094,0.09979633401221995,0.09689816700610998,0.5822591770871145,1,Quiet & Green,2224.335928160919,0.9206737062570904,25.0,0.4464285714285714,0.5849638969264326,40.74324097664266,-73.85928416154198
QN0105,Queensbridge-Ravenswood-Dutch Kills,Queens,43,279,8,41.45399999999999,24.0,226.0,0.0,0.0,1881.0,76688.0,25694,34.8,0.2,80,26,34,9.0,2.0,1.0,21.0,4.0,24.0,2.0,6.0,0.0,69.0,1360.0,1360.0,1.0,1200.0,4.0,0.8141592920353983,0.7574257425742574,0.14583333333333331,0.42857142857142855,0.07100000000000001,0.1405295315682281,0.10576476578411405,0.5670770695906505,1,Quiet & Green,2163.4370544871795,0.9721616196875819,24.0,0.42857142857142855,0.5828271030833047,40.75831865148467,-73.93793239600956
BK0801,Prospect Heights,Brooklyn,20,72,4,3.1939999999999995,13.0,151.0,0.0,0.0,2624.0,159118.5,23921,36.0,0.4,92,30,34,28.0,2.0,2.0,27.0,10.0,28.0,0.0,21.0,1.0,119.0,,,,,,0.915929203539823,0.9623762376237623,0.0625,0.23214285714285712,0.08299999999999999,0.24236252545824846,0.16268126272912423,0.5882308864577986,0,Safe & Quiet & Car-Dependent,5789.115,0.8618553102364953,13.0,0.23214285714285712,0.5813328802942112,40.67760453127363,-73.96757228975571
BK0402,Bushwick (East),Brooklyn,59,381,13,13.923,30.0,225.0,0.0,0.0,1959.0,63141.0,60220,33.8,0.2,82,25,33,15.0,1.0,3.0,33.0,0.0,54.0,1.0,13.0,0.0,120.0,2250.0,2330.0,4.0,1200.0,4.0,0.7433628318584071,0.6564356435643565,0.24999999999999997,0.5357142857142857,0.07300000000000001,0.24439918533604885,0.15869959266802441,0.5666999724624802,1,Quiet & Green,2633.119565568833,0.8944934112924339,30.0,0.5357142857142857,0.5786222651364821,40.69124488953674,-73.91296594157207
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,5,87,21,822.1009999999998,0.0,0.0,0.0,0.0,2082.0,117218.0,42756,40.5,0.2,28,12,11,4.0,1.0,0.0,5.0,1.0,6.0,0.0,1.0,0.0,18.0,,,,,,0.9823008849557522,0.9475247524752475,0.4166666666666667,0.0,0.019,0.03665987780040733,0.027829938900203667,0.6131659803148456,0,Safe & Quiet & Car-Dependent,3392.1991308510396,0.9091543764726416,0.0,0.0,0.578592421864173,40.528391676985734,-74.19804140128441
MN0101,Financial District-Battery Park City,Manhattan,64,400,9,4.618,34.0,992.0,0.0,0.0,3501.0,199576.0,48693,32.1,0.4,398,49,193,90.0,6.0,3.0,102.0,15.0,38.0,3.0,29.0,0.0,286.0,4624.0,5129.0,78.0,616.0,0.0,0.7212389380530974,0.6376237623762376,0.16666666666666666,0.6071428571428571,0.389,0.5824847250509164,0.4857423625254582,0.5567159108451932,1,Quiet & Green,5911.095,0.687320010472118,34.0,0.6071428571428571,0.5770105696337886,40.70808014393077,-74.010224249433
QN0201,Long Island City-Hunters Point,Queens,28,244,10,26.99600000000001,26.0,452.0,0.0,0.0,3045.0,154432.0,25452,33.7,0.4,160,31,77,31.0,4.0,2.0,20.0,7.0,27.0,0.0,15.0,0.0,106.0,4915.0,5271.0,37.0,784.0,1.0,0.8805309734513275,0.7920792079207921,0.18749999999999997,0.46428571428571425,0.151,0.21588594704684316,0.1834429735234216,0.611327934310498,1,Quiet & Green,4927.4215,0.661925124356401,26.0,0.46428571428571425,0.5769039241124726,40.74537957396462,-73.94890857669729
MN0202,Greenwich Village,Manhattan,38,316,11,13.118,19.0,573.0,0.0,0.0,2719.0,172687.0,31968,35.4,0.4,290,43,134,69.0,9.0,14.0,44.0,18.0,26.0,1.0,51.0,1.0,233.0,,,,,,0.836283185840708,0.7207920792079208,0.20833333333333331,0.33928571428571425,0.28099999999999997,0.47454175152749484,0.3777708757637474,0.5517965154606485,1,Quiet & Green,5461.3315,0.8535648834976874,19.0,0.33928571428571425,0.5766432414542884,40.73068156582567,-73.99568307675533
MN0301,Chinatown-Two Bridges,Manhattan,27,288,14,12.336999999999998,17.0,692.0,0.0,0.0,1260.0,28607.0,40100,46.0,0.2,242,36,87,48.0,9.0,1.0,40.0,4.0,57.0,0.0,18.0,1.0,178.0,3325.0,3325.0,2.0,,2.0,0.8849557522123894,0.7485148514851485,0.2708333333333333,0.30357142857142855,0.23299999999999998,0.3625254582484725,0.29776272912423624,0.5758529173081657,1,Quiet & Green,3258.767028392295,0.8006806876690811,17.0,0.30357142857142855,0.5758377264067961,40.71285842591675,-73.99366352071253
BX0602,Tremont,Bronx,27,316,22,32.135,13.0,87.0,0.0,0.0,1263.0,25469.0,32561,30.6,0.1,30,13,14,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,0.8849557522123894,0.7207920792079208,0.4375,0.23214285714285712,0.020999999999999998,0.004073319755600814,0.012536659877800406,0.5830122761011879,1,Quiet & Green,3732.9841764946414,0.9806265817261541,13.0,0.23214285714285712,0.5741603746421045,40.8469229769057,-73.89175591249236
BX0601,West Farms,Bronx,12,187,11,13.54,10.0,84.0,0.0,0.0,1334.0,26524.0,18526,31.3,0.1,14,9,8,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,,,,,,0.9513274336283186,0.8485148514851485,0.20833333333333331,0.17857142857142855,0.004999999999999999,0.010183299389002035,0.007591649694501017,0.5786958376621479,0,Safe & Quiet & Car-Dependent,3631.0442231240986,0.9744305785845188,10.0,0.17857142857142855,0.5712050047560056,40.84125956675343,-73.8786281692341
